snapshot_date,repo,referrer,count,uniques
2026-05-03,Darkaiser2/app1-control-change-assistant,github.com,2,1
2026-05-03,Darkaiser2/app2-algotrader,github.com,1,1
2026-05-03,Darkaiser2/claude-memory,github.com,1,1
